,object_number,acquisition.method,title,description,institution.name,creator,creator.role,production.place,production.period,production.date.start,production.date.end,material,material.part,technique,technique.part,dimension.notes,dimension.unit,dimension.part,dimension.precision,dimension.type,dimension.free,dimension.value,acquisition.date,acquisition.method
13,A2013.076,bruikleen,"Gedenkpenning 25ste verjaring Gentse Gymnastische Volksmaatschappij, 1896","Centraal op een versierde middencirkel het gekroonde Gentse wapenschild met ernaast links, STAD en rechts, GENT ; rondom langs een opkrullende banderol die onder de cirkel loopt, allerlei sport- en turntoestellen en bovenaan een pancarte bovenop eikenbladeren met erboven de olympische vlam en met rondom een geprofileerde rand.
Op de andere zijde ligt  binnen een verdiept middengedeelte waarvan de rand versierd is met streepjes, een leeuw naar links op een plaat met het opschrift, EENDRACHT BAART MACHT en met onder de plaat een gekruiste fakkel en stok, samen gestrikt en onderaan versierd met bladeren met eronder, BAETES ANVERS ; boven de leeuw zijn stralen waarop de tekst, FÉDERATION BELGE DE GYMNASTIQUE en rond de cirkel bovenaan, <> 25E VERJARINGSFEEST • DER • GYMNASTISCHE • VOLKSMAATSCHAPPIJ <> ; onderaan, GENT •18 • 20 • JULI • 96 en met rondom een geprofileerde rand.

De “Gymnastische Volksmaatschappij”, opgericht op 1 mei 1871, vierde in 1896 haar 25-jarig bestaan. De festiviteiten namen reeds een aanvang op 19 april door de inrichting van een groot liefdadigheidsfeest in de Nieuwe Cirk waarbij zowel de Gentse burgemeester Braun als de provinciegouverneur de Kerchove d'’Exaerde aanwezig waren. Bij de ingangskaarten hiervoor werden broodkaarten gevoegd zodat de bezoekers zelf een liefdadig werk konden doen.
Door de acht Gentse turnverenigingen welke lid waren van de Belgische Turnbond, werd een organisatiecomité opgericht voor het inrichten van de feesten die zouden doorgaan van 18 tot 20 juli. Op 10 mei had reeds een verjaringsconcert plaats in de Gentse dierentuin terwijl het turnfeest voor de jeugd op 5 juli gehouden werd.
Het orgelpunt van het jubileum nam een aanvang op 18 juli door een gezellig feest in de Lion d’ Or. De volgende morgen werden de deelnemers ontvangen op het Gentse stadhuis waar de voorzitter Camille Nijs aan burgemeester Braun een herinneringsmedaille overhandigde. In de namiddag en de volgende dag ging op Sint-Pietersplein de turngala door die werd afgesloten met het vormen van piramiden door de jubilerende vereniging waarna ze van de Volkskring van Antwerpen een zilveren lauwertak en een gedenkpenning in ontvangst mochten nemen.
De laureaten werden bedacht met prijspenningen en kunstvoorwerpen terwijl alle deelnemende turnkringen een gedenkpenning ontvingen.
Bruikleen van de rederijkerskamer De Fonteine.",STAM (Gent),"Baetes, Jules",ontwerper,Gent,19de eeuw,1896,1896,brons,,geslagen,,,mm,,,diameter,,53.2,2013-09-24,bruikleen
50,A2013.045,bruikleen,"Gedenkpenning eerste steenlegging Aula Universiteit Gent, 1819","Het gekroonde Gentse wapenschild met rondom, AULAE. ACADEMICAE. CONSTRUCTIONE DECRETA. en onderaan rechts, BRAEMT F. en op de afsnede, AERE MUNICIPALL. / M.D.CCC.XIX.
Op de keerzijde staat binnen een gesloten, gestrikte krans, POSITO / PRINCIPE. LAPIDE / S.P.Q.GAND / FEST. ET. SOL. DIEM / S.

Op 4 augustus 1819 werd de eerste steen van de Aula in de Volderstraat gelegd door Anton Reinhart Falck, minister van Onderwijs, Nijverheid en Koloniën.
In haar zitting van 25 mei 1819 besloot de gemeenteraad voor deze gelegenheid herdenkingsmedailles te laten slaan : 17 gouden voor de Koninklijke Familie en de autoriteiten, 90 zilveren voor diverse raden en 100 bronzen.
Het Gentse wapenschild werd afgebeeld op de voorzijde vergezeld van een gelegenheidstekst op de keerzijde.
Bruikleen van de rederijkerskamer De Fonteine.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1819,1819,brons,,geslagen,,,mm,,,diameter,,32.8,2013-09-24,bruikleen
59,N.01990,gift,"Jurykenteken voor de 15de Gentse floraliën, 1903","Vz.Links staat een vrouw met lang gewaad naar rechts gekeerd met in haar vooruitgestoken rechterhand een palmtak en met rechts van haar, XVE / FLORALIE / I8 AVRIL / I903 / GAND en met onderaan een lege afsnede en rondom een verhoogde rand.Kz.Het gekroonde Gentse wapenschild staat links schuin bovenop een lauriertak en met rechts ervan, JURÉ en onderaan boven de afsnede links, FISCH & CIE en rondom een verhoogde rand",STAM (Gent),Etablissements Fisch & Cie.,ontwerper,Gent,20ste eeuw,1903,1903,zilver,,,,,mm,,,hoogte,,32.5,1903,gift
93,04062,aankoop (?),Twee geknielde figuren (muurschildering Leugemeete),"Calque van een (verdwenen) 14de-eeuwse muurschildering in de kapel van de Leugemeete (Godshuis van St.-Jan en St.-Pauwel) te Gent, met voorstelling van twee geknielde personages.",STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1961,1961,calqueerpapier,,,,,cm,,,hoogte,,90,1889,aankoop (?)
94,04063,aankoop (?),De opstanding van Christus (muurschildering Leugemeete),"Calque van een (verdwenen) 14de-eeuwse muurschildering in de kapel van de Leugemeete (Godshuis van St.-Jan en St.-Pauwel) te Gent, met voorstelling van de verrijzenis van Christus.",STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,182,1889,aankoop (?)
95,04065,aankoop (?),Vita van Johannes de Evangelist (muurschildering Leugemeete),"Calque van een (verdwenen) 14de-eeuwse muurschildering in de kapel van de Leugemeete (Godshuis van St.-Jan en St.-Pauwel) te Gent, met voorstelling van 16 taferelen uit het leven van Sint-Jan de Evangelist.",STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,288,1889,aankoop (?)
97,04067,aankoop (?),Zwevende engel met wierookvat (muurschildering Leugemeete),"Calque van een (verdwenen) 14de-eeuwse muurschildering in de kapel van de Leugemeete (Godshuis van St.-Jan en St.-Pauwel) te Gent, met voorstelling van een wierookzwaaiende engel in de zwiek van een gotische boog.",STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,107,1889,aankoop (?)
98,04068,aankoop (?),Fragment van een gotische nis met decoratieve plantmotieven,Calque van een verdwenen muurschildering uit de Leugemeete te Gent,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,178,1889,aankoop (?)
99,04069,aankoop (?),Fragmenten van rankwerk,Calque van een verdwenen muurschildering uit de Leugemeete te Gent,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,119,1889,aankoop (?)
100,04070,aankoop (?),Fragmenten van drie versieringsmotieven,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,42.5,1889,aankoop (?)
